-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1495664927, O, T, 20150605 00:00:00, A, B, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, N, 70, +000000000000000.00000000
-1504053727, O, T, 20150603 00:00:00, A, S, +000000000000000.00000000, 8, 70, +000000000000000.000000


